Parent Rank,Kid Rank,Mobility Rate,Tier,Type
0.6220927019093581,0.62695628,0.01104902,6,Private Non profit
0.7100477327482737,0.68580896,0.022787016,4,Private Non profit
0.5897194269911458,0.53431332,0.015076135,9,Public
0.52891390397096,0.54391879,0.013754671000000001,5,Public
0.5802091380740423,0.60135126,0.013717722,11,For Profit
0.6207334311282049,0.43418908,0.0063103498,12,For Profit
0.5399256547292074,0.3586278,0.0006450818,12,For Profit
0.5440699939362921,0.58458745,0.0058118408,6,Private Non profit
0.6350590189297994,0.64514816,0.005256138299999999,6,Private Non profit
0.7066015750707147,0.59809679,0.015201175,6,Private Non profit
0.7764673219126583,0.80889088,0.027997315,4,Private Non profit
0.3691102429455211,0.45412788,0.016029309,9,Public
0.4952908026073208,0.45340496,0.0089912629,8,Private Non profit
0.6810677193509718,0.64553618,0.01278977,6,Private Non profit
